id,submission,customer_name,customer_email,description,status,closed_on,employee_name
58,10:55 AM,Robin Mason,bstevens1l@wired.com,"Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",open,1:55 PM,Brandon Stevens
59,4:04 PM,Evelyn Powell,sroberts1m@sourceforge.net,"Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",open,9:03 PM,Susan Roberts
60,11:10 PM,George Diaz,cgriffin1n@sogou.com,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",closed,8:46 PM,Charles Griffin
61,7:37 PM,Charles Duncan,cjames1o@rakuten.co.jp,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis.",open,2:18 PM,Carolyn James
62,7:11 AM,Jack Dunn,jhunt1p@tumblr.com,Nullam varius. Nulla facilisi.,closed,8:47 AM,Judy Hunt
63,6:45 AM,Frank Torres,jromero1q@cam.ac.uk,Nulla justo.,open,4:44 AM,Joe Romero
64,7:50 PM,Martha White,alarson1r@cisco.com,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.",closed,10:33 PM,Amanda Larson
65,4:53 PM,Martin Kim,sgarza1s@hud.gov,"Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",open,8:29 PM,Samuel Garza
66,5:09 PM,Juan Stewart,bhawkins1t@webmd.com,"Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.",open,5:46 PM,Bobby Hawkins
67,11:00 AM,Carolyn Elliott,jwilliams1u@wunderground.com,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",closed,2:14 AM,Jennifer Williams
68,8:34 PM,Gerald Gomez,fdixon1v@ovh.net,Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,closed,5:32 PM,Fred Dixon
69,4:27 PM,Bruce Reed,eoliver1w@wordpress.org,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.,open,12:19 AM,Evelyn Oliver
70,1:03 AM,Randy Grant,dfoster1x@geocities.com,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.",open,11:13 PM,Donna Foster
71,5:02 AM,Richard Hansen,jferguson1y@jigsy.com,"Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",closed,7:08 PM,Jacqueline Ferguson
72,9:35 AM,Frank Miller,nevans1z@sciencedaily.com,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.",closed,10:21 AM,Nicholas Evans
73,3:49 PM,Barbara Ross,nanderson20@ucoz.com,Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,open,3:15 AM,Norma Anderson
74,10:18 PM,Irene Tucker,kwilliamson21@foxnews.com,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.",closed,9:49 PM,Keith Williamson
75,12:36 AM,Jose Matthews,nwalker22@businesswire.com,"Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",closed,8:59 AM,Nicole Walker
76,11:37 PM,Jennifer Murphy,wjenkins23@dailymotion.com,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",closed,9:48 PM,Willie Jenkins
77,10:27 PM,Helen Morrison,krose24@soup.io,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",open,5:38 AM,Kathryn Rose
78,11:38 PM,Diane Wilson,bfields25@last.fm,"Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.",closed,2:10 AM,Barbara Fields
79,7:44 AM,Louise Diaz,ahoward26@aboutads.info,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo.",open,8:44 AM,Andrew Howard
80,8:03 PM,Nicholas Cole,atucker27@usatoday.com,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero.",closed,1:51 PM,Ann Tucker
81,3:34 AM,Maria Cruz,chanson28@quantcast.com,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.",closed,8:24 AM,Cheryl Hanson
82,10:27 PM,Shirley Lane,mcampbell29@wisc.edu,"Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",closed,9:04 PM,Michelle Campbell
83,3:48 PM,Jean Henderson,klong2a@marketwatch.com,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,closed,2:34 AM,Kimberly Long
84,2:10 PM,Louise Russell,jchapman2b@odnoklassniki.ru,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",closed,4:21 AM,Jose Chapman
85,2:42 PM,Carolyn Montgomery,dpeterson2c@joomla.org,Proin at turpis a pede posuere nonummy.,closed,9:24 PM,Donna Peterson
86,2:14 PM,Melissa Ward,chudson2d@livejournal.com,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,open,7:16 AM,Carolyn Hudson
87,2:34 PM,Robin Meyer,wdean2e@scientificamerican.com,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",open,2:39 PM,Wayne Dean
88,11:35 PM,Lisa Austin,tstephens2f@tinyurl.com,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,open,5:02 PM,Theresa Stephens
89,3:35 PM,Jesse Gibson,rgonzales2g@ted.com,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat.",closed,4:28 AM,Ruth Gonzales
90,5:33 PM,Larry Bennett,ereynolds2h@tumblr.com,"Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",open,9:45 PM,Eric Reynolds
